No,Locus,Gene name,Del,Parent,Mycelial growth,,Pig,Sexual development,,,,Con,Vir,Toxins,,Stress responses,,,,,
,,,,,PDA,MM,,NF,PM,AF,AD,,,ZEA,DON,Os,ROS,Fung,CW,pH4,pH11
FGSG_04220,GzAPSES001,Ya,GZ3639,Singleb,1c,1d,4e,0f,0g,0h,0i,4j,2k,2k,0l,4m,4m,4m,4m,4m,4m
FGSG_04293,GzC2H029,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04889,GzC2H031,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04932,GzC2H032,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05041,GzC2H034,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05359,GzC2H035,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05381,GzC2H036,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_05399,GzC2H037,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,6,4,4,4,4,4,4,4
FGSG_05857,GzC2H038,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_06002,GzC2H039,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06168,GzC2H040,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06311,GzC2H041,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06684,GzC2H043,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06701,GzC2H044,Y,GZ3639,Single,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06934,GzC2H046,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07187,GzC2H049,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07392,GzC2H051,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07735,GzC2H053,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07737,GzC2H054,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07751,GzC2H055,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07753,GzC2H056,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07914,GzC2H058,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07952,GzC2H060,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08128,GzC2H061,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08138,GzC2H062,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08246,GzC2H063,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08434,GzC2H064,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08582,GzC2H065,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08646,GzC2H067,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08798,GzC2H069,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09015,GzC2H072,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09368,GzC2H075,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09410,GzC2H076,Y,GZ3639,Single,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09715,GzC2H079,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09770,GzC2H080,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09857,GzC2H081,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10006,GzC2H082,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10162,GzC2H083,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10350,GzC2H084,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10369,GzC2H086,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11061,GzC2H091,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11383,GzC2H092,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11799,GzC2H095,Y,GZ3639,Single,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_12057,GzC2H096,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12809,GzC2H097,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_12970,FgPac1,Y,GZ3639,Single,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_12973,GzC2H100,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13123,GzC2H102,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13492,GzC2H104,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13896,GzC2H106,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13964,GzC2H107,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02676,GzDNL,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00710,GzGATA001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03281,GzGATA002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04626,GzGATA003,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07830,GzGATA004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07941,GzGATA005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09565,GzGATA007,Y,GZ3639,Single,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06356,GzGH,Y,GZ3639,Single,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10868,GzHSF003,Y,GZ3639,Single,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01295,GzAra002,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04516,GzAra003,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05373,GzAra004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06805,GzAra005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06849,GzAra006,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09389,GzAra007,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10948,GzAra008,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00352,GzCCAAT001,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4
FGSG_02608,GzCCAAT003,Y,GZ3639,Single,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05498,GzCCAAT005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07087,GzCCAAT006,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09217,GzCCAAT007,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11627,GzCCAAT008,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00307,GzHMG001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00678,GzHMG003,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00696,GzHMG004,Y,GZ3639,Single,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_00799,GzHMG006,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00829,GzHMG007,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01201,GzHMG008,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01327,GzHMG009,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_01488,GzHMG011,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01512,GzHMG012,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01934,GzHMG013,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04379,GzHMG014,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04557,GzHMG015,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05151,GzHMG016,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05233,GzHMG017,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05604,GzHMG018,Y,GZ3639,Single,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_06231,GzHMG019,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07020,GzHMG020,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07116,GzHMG021,Y,GZ3639,Single,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07144,GzHMG022,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07409,GzHMG024,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07947,GzHMG025,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10826,GzHMG031,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10944,GzHMG032,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11834,GzHMG033,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12323,GzHMG034,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13004,GzHMG035,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13929,GzHMG037,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01100,GzHOME001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05475,GzHOME002,Y,GZ3639,Single,4,4,4,1,3,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_05477,GzHOME003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06812,GzHOME004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07097,GzHOME005,Y,GZ3639,Single,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
FGSG_09043,GzHOME010,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09047,GzHOME011,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09566,GzHOME012,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06966,GzHOMEL016,Y,GZ3639,Single,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07243,GzHOMEL018,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08753,GzHOMEL024,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09228,GzHOMEL030,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09791,GzHOMEL033,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10068,GzHOMEL035,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10221,GzHOMEL036,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13911,GzHOMEL041,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08722,Gzsnd,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00930,GzSsu72,Y,GZ3639,Single,4,3,3,1,2,4,4,4,2,2,4,2,4,4,2,4,4
FGSG_07458,GzLam001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09002,GzMADS002,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01274,GzMyb003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01457,GzMyb004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01925,GzMyb006,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02538,GzMyb007,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02719,GzMyb008,Y,GZ3639,Single,4,4,4,1,4,4,4,4,4,4,4,4,4,6,6,6,4
FGSG_06768,GzMyb011,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07448,GzMyb012,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07546,MYT2,Y,GZ3639,Single,4,5,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_08713,GzMyb014,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09807,GzMyb015,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01167,GzMyb018,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01662,GzMyb019,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01040,GzNH002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
