No,Locus,Gene name,Del,Parent,Mycelial growth,,Pig,Sexual development,,,,Con,Vir,Toxins,,Stress responses,,,,,
,,,,,PDA,MM,,NF,PM,AF,AD,,,ZEA,DON,Os,ROS,Fung,CW,pH4,pH11
FGSG_04220,GzAPSES001,Ya,GZ3639,Singleb,1c,1d,4e,0f,0g,0h,0i,4j,2k,2k,0l,4m,4m,4m,4m,4m,4m
FGSG_10797,GzOB046,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13818,GzOB048,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00350,GzP53L001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03874,GzP53L002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2
FGSG_07157,GzP53L003,Y,GZ3639,Single,3,4,5,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_08397,GzP53L004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10985,GzP53L006,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06279,GzSART1,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09837,GzSGT1,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01929,GzssDB001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10186,GzssDB002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00420,GzFET5,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00934,GzJUM001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01558,GzJUM002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06840,GzJUM004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13613,GzJUM005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13928,GzJUM006,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08981,GzOpi,Y,GZ3639,Single,4,5,4,4,4,4,4,3,4,4,4,4,4,6,4,4,4
FGSG_00902,GzTF2S001,Y,GZ3639,Single,4,4,3,4,4,4,4,3,2,4,4,4,4,4,4,4,2
FGSG_08551,GzTF2S002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00502,GzWing001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00778,GzWing002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00946,GzWing003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01030,GzWing004,Y,GZ3639,Single,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_01116,GzWing005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01689,GzWing006,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02615,GzWing007,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03597,FgFlbB,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05388,GzWing010,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05949,GzWing012,Y,GZ3639,Single,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_06359,GzWing014,Y,GZ3639,Single,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_07433,GzWing017,Y,GZ3639,Single,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2
FGSG_09724,GzWing021,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10331,GzWing023,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10800,GzWing024,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10886,GzWing026,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13640,GzWing028,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02288,GzCCCH001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06860,GzCCCH002,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10829,GzCCCH003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11696,GzCCCH004,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01984,GzCCHC001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02080,GzCCHC002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02646,GzCCHC003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05280,GzCCHC004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06910,GzCCHC005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08897,GzCCHC006,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09892,GzCCHC007,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10143,GzCCHC008,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10277,GzCCHC009,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10286,GzCCHC010,Y,GZ3639,Single,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_12977,GzCCHC012,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01411,GzDHHC001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05896,GzDHHC002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_08531,GzDHHC004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08915,GzDHHC005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05110,GzGRF,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08455,GzMIZ001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10015,GzMIZ002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02130,GzNF001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07076,GzNF002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04258,GzRad002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12264,GzRad003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12006,GzZC001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12002,GzZC002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08831,GzZC003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10030,GzZC004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11624,GzZC005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09945,GzZC006,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09524,GzZC007,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_09349,GzZC008,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_11520,GzZC009,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10977,GzZC010,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11051,GzZC011,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11462,GzZC012,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10891,GzZC013,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04680,GzZC014,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04666,GzZC015,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04496,GzZC016,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07575,GzZC017,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07568,GzZC018,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05926,GzZC019,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03924,GzZC020,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03873,GzZC021,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04170,GzZC022,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05827,GzZC023,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06516,GzZC024,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03606,GzZC025,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02150,GzZC026,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05309,GzZC027,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02825,GzZC028,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06380,GzZC030,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04782,GzZC031,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00153,GzZC032,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13652,GzZC033,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13625,GzZC034,Y,GZ3639,Single,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
FGSG_13386,GzZC035,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13344,GzZC036,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13098,GzZC037,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13008,GzZC038,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13830,GzZC039,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13828,GzZC040,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13457,GzZC041,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12173,GzZC042,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12134,GzZC043,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12094,GzZC044,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12398,GzZC045,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11996,GzZC046,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12385,GzZC047,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12660,GzZC048,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12611,GzZC049,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12597,GzZC050,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11720,GzZC051,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11709,GzZC052,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11686,GzZC053,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12742,GzZC054,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12714,GzZC055,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12703,GzZC056,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12798,GzZC057,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13172,GzZC058,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08861,GzZC059,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08808,GzZC060,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08791,GzZC061,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12528,GzZC063,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11672,GzZC064,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11654,GzZC065,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09726,GzZC066,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09921,GzZC067,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09884,GzZC068,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10536,GzZC069,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10505,GzZC070,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11821,GzZC071,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09594,GzZC072,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09178,GzZC073,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09147,GzZC074,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09123,GzZC075,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09111,GzZC076,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09065,GzZC077,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09014,GzZC078,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09333,GzZC079,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09331,GzZC080,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10429,GzZC082,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_00568,GzZC083,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4
FGSG_08972,GzZC084,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08930,GzZC085,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08924,GzZC086,Y,GZ3639,Single,3,2,5,4,4,4,4,3,4,4,4,4,4,2,4,4,4
FGSG_11561,GzZC088,Y,GZ3639,Multiple,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
FGSG_12244,GzZC090,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10364,GzZC091,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11093,GzZC092,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11218,GzZC093,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11186,GzZC094,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11271,GzZC095,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11262,GzZC096,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10914,GzZC098,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10895,GzZC099,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10812,GzZC100,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10674,GzZC101,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10660,GzZC102,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10639,GzZC103,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08392,GzZC104,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08321,GzZC106,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08369,GzZC107,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08626,GzZC109,Y,GZ3639,Single,4,4,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4
FGSG_07265,GzZC110,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_07198,GzZC111,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07192,GzZC112,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07177,GzZC113,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4
FGSG_00967,GzZC114,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01936,GzZC115,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08179,GzZC117,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08038,GzZC118,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08034,GzZC119,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07927,GzZC121,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,6,6,4,4,4,4
FGSG_02277,GzZC123,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07884,GzZC125,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07827,GzZC126,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08135,GzZC127,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08080,GzZC128,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04643,GzZC130,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06810,GzZC131,Y,GZ3639,Single,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4
FGSG_04581,ZEAR,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12927,GzZC133,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12813,GzZC134,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13135,GzZC135,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08828,GzZC136,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10533,GzZC137,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09075,GzZC138,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09371,GzZC139,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09328,GzZC140,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10980,GzZC141,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11124,GzZC142,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11216,GzZC143,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07889,GzZC145,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03353,GzZC146,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03068,GzZC147,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04203,GzZC148,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05772,GzZC149,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03649,GzZC150,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02431,GzZC152,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02787,GzZC153,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01731,GzZC154,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06460,GzZC155,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03783,GzZC156,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00813,GzZC157,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11891,GzZC158,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12631,GzZC159,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11683,GzZC160,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12729,GzZC161,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09464,GzZC162,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,6,4
FGSG_09177,GzZC163,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10266,GzZC164,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09080,GzZC165,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10468,GzZC167,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09225,GzZC168,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10070,GzZC169,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12282,GzZC170,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11247,GzZC171,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11364,GzZC172,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_11358,GzZC173,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11355,GzZC174,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08349,GzZC175,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08010,GzZC176,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04683,GzZC177,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04671,GzZC178,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_14003,GzZC179,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13455,GzZC180,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12115,GzZC181,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
