No,Mycelial growth,,Pig,Sexual development,,,,Con,Vir,Toxins,,Stress responses,,,,,
,PDA,MM,,NF,PM,AF,AD,,,ZEA,DON,Os,ROS,Fung,CW,pH4,pH11
FGSG_04220,1c,1d,4e,0f,0g,0h,0i,4j,2k,2k,0l,4m,4m,4m,4m,4m,4m
FGSG_08246,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08434,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08582,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08646,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08798,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09410,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09715,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09770,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10162,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10369,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11799,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_12057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12809,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_12970,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_12973,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13123,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13492,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13896,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13964,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02676,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00710,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03281,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04626,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07941,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09565,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06356,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10868,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05373,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06805,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06849,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09389,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10948,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00352,4,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4
FGSG_02608,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05498,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07087,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11627,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00307,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00678,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00696,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_00799,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01201,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01327,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_01488,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01512,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01934,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04379,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04557,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05151,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05233,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05604,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_06231,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07116,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07144,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07409,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10944,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13004,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13929,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05475,4,4,4,1,3,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_05477,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07097,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
FGSG_09043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09047,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09566,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06966,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07243,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08753,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09791,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10068,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10221,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13911,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08722,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
