GeneName	GeneDescription	DESCRIPTION	HP1	Hos2	MMC	MMN	PH1	Rpd3	cpka	mac1	FG1_H4_H6	FG1_H7_H9	FG1_H10_H12	FG1_H13_H15	FG1_H16_H18	FG2_H4_H6	FG2_H7_H9	FG5_H6_H8	FG5_H11_14	FG5_H16_H18	FG5_H21_H25	FG5_H26_H28	FG6_H1_H3	FG6_H4_H6	FG6_H7_H9	FG7_H4_H6	FG7_H7_H9	FG7_H10_H12	FG10_H1_H3	FG11_H4_H6	FG11_H7_H9	FG12_H1_H4	FG12_H5_H8	FG12_H9_H11	FG13_H4_H6	FG13_H7_H9	FG13_H13_H15	FG13_H16_H18	FG14_H1_H4s	FG15_H4_H6	FG15_H7_H9	FG15_H10_H12	FG15_H13_H15	FG15_H16_H18	FG15_H19_H21	FG16_H4_H6	FG16_H7_H9	FG16_H10_H12	FG18_H4_H6	FG19_H4-6	FG19_H7-9	FG19_H10-12	FG19_H13-14	FG19_H15-17	
FGSG_11249	0.07051277			0.08798742294311523	-0.09427237510681152	6.701141357421875	0.5873711109161377	-0.11782121658325195	0.060631752014160156	-0.07115983963012695	-3.2894396781921387	-3.15602970123291	-2.1817235946655273	-0.5304198265075684	0.9430737495422363	0.8902668952941895	1.179856777191162	-0.7407636642456055	3.4621658325195312	1.933187484741211	-0.028056621551513672	-0.951995849609375	-1.8606772422790527	-0.9363861083984375	-2.368739604949951	-1.7831764221191406	-2.813857078552246	-2.530526638031006	-3.2536635398864746	-1.9266891479492188	0.058897972106933594	0.3529348373413086	-1.4504327774047852	-1.4487929344177246	-0.392056941986084	2.360440254211426	-4.281786918640137	0.48262643814086914	-1.7975163459777832	2.9262423515319824	-1.3346195220947266	1.7677969932556152	1.858109951019287	3.0720438957214355	0.8001360893249512	0.8471903800964355	-4.9592061042785645	-1.4016227722167969	0.04841804504394531	-0.11006045341491699	-2.4113237857818604	-3.1411070823669434	1.743232250213623	0.7404513359069824	-3.7503104209899902
FGSG_11310	0.59799767			1.7511777877807617	1.8973608016967773	2.8206543922424316	0.9856472015380859	0.7535362243652344	-0.5590105056762695	2.170166492462158	-1.9537734985351562	-1.7053465843200684	-1.742006778717041	-1.9298300743103027	-2.3124701976776123	-2.4412899017333984	7.053956985473633	5.521733283996582	-0.572446346282959	3.1042213439941406	3.2369632720947266	3.1112442016601562	1.0660400390625	1.2292695045471191	2.881779670715332	2.1361169815063477	-2.2066802978515625	-5.194240093231201	-2.6981468200683594	1.4745073318481445	1.068770170211792	0.3443136215209961	-3.2385969161987305	-3.8618521690368652	-4.06597900390625	-2.458543300628662	4.9491472244262695	1.244347095489502	7.476450443267822	-2.0954933166503906	-1.109872817993164	-1.6451396942138672	-1.795046329498291	-2.445453405380249	-2.178786516189575	-2.367363214492798	-1.7471442222595215	2.4820656776428223	-2.1268606185913086	0.15555667877197266	-3.3591794967651367	-2.065903663635254	-1.0790491104125977	-7.014197826385498	-7.985746383666992
FGSG_11474	-4.496109			-4.392712116241455	-2.774501323699951	-3.7861809730529785	-3.546616315841675	-3.9705777168273926	-4.449217319488525	-4.356873989105225	-0.9844534397125244	-1.1682665348052979	-1.0613467693328857	-0.1608569622039795	-0.5440168380737305	0.4507565498352051	0.5536365509033203	0.3839302062988281	-0.893559455871582	-0.38513755798339844	0.48643016815185547	-0.37288999557495117	-0.9724864959716797	2.504809856414795	1.5422930717468262	2.227713108062744	2.28359317779541	1.1279034614562988	5.640863418579102	0.21391963958740234	-2.7015461921691895	-2.4446492195129395	-3.3411550521850586	-3.0303425788879395	-2.346078872680664	0.8388075828552246	-0.4108600616455078	-0.6235866546630859	0.4428701400756836	0.21802997589111328	-0.1858665943145752	0.09748005867004395	1.2934765815734863	3.006326675415039	1.4407000541687012	1.7768497467041016	-2.119006633758545	-1.2134900093078613	2.394509792327881	-0.5008640289306641	1.3260703086853027	-0.505079984664917	0.723520040512085	0.06584668159484863	1.4201664924621582
FGSG_11992	-4.44561			-4.682201385498047	-4.221212387084961	-4.464115619659424	-3.533576011657715	-4.924222469329834	-1.3417339324951172	-3.860823154449463	-0.42310357093811035	-0.4602963924407959	-0.26827001571655273	-0.6424868106842041	-0.9287533760070801	-1.4540133476257324	-0.5529334545135498	-0.30533647537231445	-0.6878604888916016	-0.8201665878295898	3.2245988845825195	4.828423976898193	4.521742343902588	0.2436833381652832	3.6798362731933594	2.1794939041137695	2.9085562229156494	3.7015464305877686	5.163259506225586	0.23180007934570312	0.15757012367248535	-0.12356305122375488	1.6538324356079102	1.7956976890563965	1.4316611289978027	-0.6192808151245117	-2.008713722229004	-1.0670065879821777	-1.5153875350952148	-1.0210776329040527	0.5845165252685547	-0.2779366970062256	-0.13133001327514648	-0.6483199596405029	-0.7703602313995361	-0.421466588973999	0.5185794830322266	0.15624666213989258	0.43213939666748047	-0.7492799758911133	-0.438143253326416	-1.0695500373840332	-1.083763599395752	-1.1298701763153076	6.754142761230469
FGSG_12376	-0.08884919			-0.18160653114318848	0.07019758224487305	4.020410537719727	0.09056925773620605	0.2074437141418457	2.7600409984588623	0.044909000396728516	-1.2920236587524414	-1.3818597793579102	0.9472603797912598	1.9189496040344238	2.2155003547668457	4.7893900871276855	5.996232509613037	1.6846771240234375	0.09891510009765625	0.08245563507080078	-0.33785533905029297	-0.25418949127197266	-2.023871421813965	5.375786304473877	3.890507221221924	5.224883556365967	-2.1389963626861572	-2.5608465671539307	-2.3940699100494385	-0.11733627319335938	0.034790992736816406	-0.07242584228515625	-1.5228452682495117	-3.5666446685791016	0.31766319274902344	4.247948169708252	-0.7260327339172363	2.551913261413574	3.7002224922180176	1.321115493774414	-0.03793668746948242	3.8746066093444824	4.191283702850342	4.837584018707275	6.142096996307373	5.957400798797607	-0.2424335479736328	-0.66351318359375	-1.4681196212768555	-3.202460289001465	2.049856662750244	3.343113422393799	3.856496810913086	5.31004524230957	-1.8570200204849243
FGSG_12387	-0.17692995			0.0451505184173584	0.07019329071044922	7.958235740661621	-0.2780168056488037	-0.147261381149292	4.149574279785156	-0.08084535598754883	-2.970393657684326	-3.1216635704040527	-2.843906879425049	-2.127760410308838	-0.01724386215209961	2.3895888328552246	3.2613673210144043	-3.339460611343384	-0.36580848693847656	5.664012908935547	6.948190689086914	7.589114189147949	7.966458320617676	1.3053765296936035	3.69264554977417	4.534002780914307	-4.772226333618164	-4.333340167999268	-3.935886859893799	-0.17375993728637695	0.610076904296875	-0.05911540985107422	-1.5611505508422852	-2.5212526321411133	0.8770341873168945	-1.9766569137573242	-4.010420799255371	3.643960475921631	2.7147841453552246	5.896164417266846	-2.025913715362549	-0.9267501831054688	-0.5880537033081055	1.2135167121887207	2.7912192344665527	2.566445827484131	-0.2839164733886719	-0.27634239196777344	-0.05994606018066406	-0.18041634559631348	-4.6106462478637695	-4.952055931091309	-1.1955299377441406	-2.402864456176758	-5.7055768966674805
FGSG_12970	-1.7238855			-2.2210984230041504	-1.076021671295166	1.699984073638916	-1.194580078125	-0.7679638862609863	-1.3753890991210938	0.43504858016967773	-0.7050498723983765	-0.5305134057998657	-0.668616533279419	-0.7540299892425537	-0.8157166242599487	-0.7876600027084351	0.10417342185974121	0.0019068720284849405	-0.11414718627929688	-0.14410138130187988	-0.10243725776672363	-0.06625986099243164	-0.03411078453063965	1.075596570968628	1.7686235904693604	1.2128465175628662	-0.2497565746307373	-0.2857367992401123	0.04189658164978027	-0.04669666290283203	-0.046669721603393555	-0.14444983005523682	0.17087507247924805	0.11559748649597168	0.05659937858581543	-0.568183422088623	-0.6111135482788086	0.09398031234741211	-0.20981979370117188	0.03161978721618652	0.6710166931152344	0.52836012840271	0.43316650390625	0.49554014205932617	0.5482900142669678	0.5209167003631592	0.03174328804016113	0.03202652931213379	0.07253003120422363	-0.053189754486083984	-1.9293925762176514	-1.8872413635253906	-2.094635009765625	-1.1130561828613281	-0.47383737564086914
FGSG_13979	-5.0645814			-5.796877384185791	-2.106229305267334	-5.517383098602295	-4.266420841217041	-5.457271575927734	-4.180749416351318	-6.115251541137695	-5.75433349609375	-5.468256950378418	-5.842316627502441	-4.952683448791504	-5.372036933898926	-5.061980247497559	-2.981513500213623	-2.6494297981262207	-2.0857319831848145	-2.8070321083068848	-2.940258502960205	-3.3080079555511475	-3.258862018585205	-1.3839898109436035	-3.6086668968200684	-3.401489734649658	5.2950568199157715	5.89007043838501	7.163012981414795	0.19295310974121094	-3.1418166160583496	-3.404106616973877	-0.11452960968017578	-0.018459796905517578	0.5464329719543457	-0.7719907760620117	-1.134610652923584	-3.8242831230163574	-1.1495661735534668	-1.8495197296142578	-4.18630313873291	-3.867579936981201	-2.587146759033203	-2.137042999267578	-2.738086700439453	-2.275796413421631	-1.9439268112182617	-1.3513870239257812	2.5373291969299316	-0.7974338531494141	0.4976038932800293	-2.7962236404418945	-2.233304023742676	-2.3617587089538574	2.3845133781433105
